field_id,latitude,longitude,year,season_number,season_length_days,ndvi_peak,ndvi_mean,ndvi_auc,ndvi_slope_mid,precip_cum,rh_mean,gdd_cum,solar_cum,water_stress_index,yield_kg_ha,sustainability_score
field_1.3000_103.8000,1.3,103.8,2021,1,60,0.6142,0.5263311475409835,504.896,-0.000766667,530.93,86.38459016393443,974.55,1205.7699999999998,0.1178923369165993,5588.6759845693205,0.5163929465898309
field_1.3000_103.8000,1.3,103.8,2022,1,60,0.5659,0.509816393442623,489.7696,7.666666666666563e-05,874.25,83.31065573770492,1094.8300000000002,1007.9100000000002,0.155478113544746,5037.4588809997285,0.45273750254884004
field_1.3000_103.8000,1.3,103.8,2023,1,210,0.6308,0.4456189573459715,1498.3128000000002,0.0096233333333333,3202.26,85.66232227488152,3679.63,3430.9,0.1311372023502017,8314.539576702155,0.7097051949515105
field_1.3000_103.8000,1.3,103.8,2024,1,210,0.9191,0.4490047393364929,1510.0616000000002,0.00027,2380.94,84.819336492891,3857.53,3400.98,0.1431138466012293,8150.284521603247,0.6936622771632197
field_1.3000_103.8000,1.3,103.8,2025,1,30,0.5481,0.504951612903226,243.0240000000001,0.0,496.88999999999993,85.02548387096773,553.79,486.25,0.1390842719042664,5067.808349064872,0.4583441903207572
field_13.4000_103.9000,13.4,103.9,2014,1,46,0.6524,0.5938574468085104,437.51839999999993,0.0030566666666666,40.93,77.54191489361703,753.6600000000001,803.8,0.1949011377395502,5492.918579461679,0.5109568792373087
field_13.4000_103.9000,13.4,103.9,2015,1,60,0.5892,0.5863540983606557,562.8832,-0.000196667,62.83,72.52950819672131,1097.91,1115.0199999999998,0.2563777467526651,5277.984707353817,0.4716851972675253
field_13.4000_103.9000,13.4,103.9,2016,1,60,0.9666,0.7778721311475412,746.2064000000003,-0.00984,110.34,75.70065573770492,1106.88,1015.45,0.2279729955030009,5118.370095457857,0.5396772282813
field_13.4000_103.9000,13.4,103.9,2017,1,60,0.6942,0.6406065573770491,614.7695999999999,-0.003116667,42.96999999999999,75.55704918032787,1041.73,997.9500000000002,0.2206183341933173,5696.640125417529,0.5380548776835635
field_13.4000_103.9000,13.4,103.9,2018,1,30,0.6206,0.6133741935483873,294.5280000000001,0.0,9.329999999999998,62.14225806451612,580.4400000000002,522.6800000000001,0.3624736314949707,5269.467811914269,0.44941782490968096
field_13.4000_103.9000,13.4,103.9,2019,1,60,0.6021,0.5914409836065574,567.8128,0.0006766666666666,111.16,77.42229508196719,1084.38,1078.16,0.2090448724536416,5471.890442704145,0.5040362972779128
field_13.4000_103.9000,13.4,103.9,2020,1,46,0.6492,0.631704255319149,464.84080000000006,0.0001799999999999,25.57,83.85297872340428,715.1999999999997,790.5999999999999,0.1357265930285194,5020.581077429495,0.5035961163755198
field_13.4000_103.9000,13.4,103.9,2021,1,46,0.6485,0.6296999999999999,463.5799999999999,0.0010266666666666,47.35999999999999,83.2131914893617,694.45,787.97,0.1386340366681756,5307.505790902471,0.5259584320238448
field_13.4000_103.9000,13.4,103.9,2022,1,30,0.5869,0.5861516129032257,281.364,0.0,25.67,79.50193548387095,487.67,499.05,0.1758138830385016,5262.219583518075,0.49445886869581535
field_13.4000_103.9000,13.4,103.9,2023,1,60,0.6311,0.6102672131147537,585.9631999999997,-0.000126667,158.28,79.16360655737704,1087.76,1026.9,0.1933070783122817,5294.179520415706,0.5010531767883919
field_13.4000_103.9000,13.4,103.9,2024,1,60,0.6543,0.6365983606557378,610.9960000000001,-0.00142,254.31,82.65704918032783,1068.5300000000002,1036.41,0.1590746625100782,5692.828572342547,0.5546751910360009
field_13.4000_103.9000,13.4,103.9,2025,1,30,0.6254,0.6169419354838709,296.0879999999999,0.0,125.44,80.99903225806453,571.83,576.8100000000001,0.1801679933749564,5152.512396651228,0.4956846278342074
field_11.6000_104.9000,11.6,104.9,2014,1,30,0.5843,0.5585193548387098,268.4760000000001,0.0,74.14000000000001,73.85516129032258,543.25,538.05,0.2398718669788415,4768.966542859686,0.42348237562044116
field_11.6000_104.9000,11.6,104.9,2015,1,60,0.4978,0.4100852459016393,393.4776,-0.004276667,273.66,85.1011475409836,1054.4399999999998,1127.44,0.1355095409119412,5203.551174035189,0.4346988158409627
field_11.6000_104.9000,11.6,104.9,2016,1,30,0.6537,0.6309645161290323,303.20399999999995,0.0,81.2,80.15774193548388,528.24,481.91,0.1788448860215052,4850.667715354112,0.47616885509779816
field_11.6000_104.9000,11.6,104.9,2017,1,60,0.379,0.329149180327869,315.3640000000001,-0.004523333,159.49999999999997,80.99016393442623,1041.7600000000002,1031.62,0.17158298808564,5885.499200034888,0.4501368629022585
field_11.6000_104.9000,11.6,104.9,2018,1,30,0.6731,0.6484032258064518,311.6040000000001,0.0,25.1,71.04967741935484,573.1600000000001,548.53,0.2749222246271245,5003.689989572325,0.4667741128599034
field_11.6000_104.9000,11.6,104.9,2019,1,60,0.4621,0.3858737704918032,370.0856,-0.004723333,61.24999999999999,76.84803278688526,1014.25,1190.13,0.2054895232016482,5797.834590249789,0.45420123573689086
field_11.6000_104.9000,11.6,104.9,2020,1,30,0.5857,0.5683064516129032,273.048,0.0,85.63999999999999,85.8041935483871,490.46,556.4100000000001,0.1221846799167532,4608.20816733856,0.44906498266871897
field_11.6000_104.9000,11.6,104.9,2021,1,30,0.6939,0.619654838709677,298.5479999999998,0.0,46.05,87.02612903225807,461.47,543.8600000000001,0.1076231423170308,5131.396015266751,0.5167135505485005
field_11.6000_104.9000,11.6,104.9,2022,1,60,0.3409,0.2515163934426229,241.9648,0.0039866666666666,602.57,88.8439344262295,1032.49,1096.6999999999998,0.1001296510615426,5740.31539471591,0.4299127218478027
field_11.6000_104.9000,11.6,104.9,2023,1,30,0.5793,0.5365129032258062,258.16799999999995,0.0,32.77,84.75354838709679,507.25,572.82,0.133980242802636,5162.46208219487,0.47979202000994753
field_11.6000_104.9000,11.6,104.9,2024,1,30,0.2292,0.2271967741935483,109.04399999999995,0.0,11.85,77.63387096774193,527.1,510.44000000000005,0.2013192108914326,5052.157517940619,0.3327556618589092
field_11.6000_104.9000,11.6,104.9,2025,1,30,0.6007,0.4224290322580646,201.9232000000001,-0.008373333,1.02,56.1158064516129,530.0000000000001,615.79,0.3963733610822061,4943.540346871884,0.33938737244599115
field_16.8000_96.2000,16.8,96.2,2014,1,60,0.4747,0.4612475409836064,442.8799999999999,7.333333333333451e-05,124.78,79.41868852459018,1023.12,1101.5000000000002,0.1836707726596792,5184.606979856455,0.4381192126879483
field_16.8000_96.2000,16.8,96.2,2015,1,46,0.4928,0.4713531914893619,347.1408000000001,-0.000916667,30.380000000000003,75.29574468085107,783.2700000000001,842.7900000000001,0.2195822841406367,5442.37095506149,0.45274596260990274
field_16.8000_96.2000,16.8,96.2,2016,1,46,0.4751,0.4668787234042552,343.6679999999999,-0.000436667,22.8,81.41042553191488,732.0600000000002,795.44,0.1584807367738042,5253.904154220642,0.4536129238854931
field_16.8000_96.2000,16.8,96.2,2017,1,30,0.5354,0.5248967741935483,252.108,0.0,10.6,82.58935483870968,469.22,536.6,0.1458787411030176,4795.80950630301,0.44114117506222983
field_16.8000_96.2000,16.8,96.2,2018,1,46,0.5358,0.503391489361702,370.51679999999993,-0.00205,28.3,78.67872340425532,759.27,792.5399999999998,0.1858837282329862,4889.663643893003,0.42881223125194023
field_16.8000_96.2000,16.8,96.2,2019,1,46,0.49,0.4771489361702128,351.0312,-0.001143333,3.97,73.70680851063828,721.12,824.3100000000001,0.2221159308284293,5367.29622665162,0.4479107632161165
field_16.8000_96.2000,16.8,96.2,2020,1,46,0.6102,0.5420468085106384,398.5552,-0.005216667,26.0,74.58106382978723,755.4,868.8899999999999,0.2209103856948846,5304.295611460715,0.4676791842304718
field_16.8000_96.2000,16.8,96.2,2021,1,46,0.5358,0.5120297872340428,376.6496000000002,-0.00054,52.99999999999999,83.28808510638297,700.4,851.3599999999999,0.1387207460389317,5042.266670399519,0.4590083925362735
field_16.8000_96.2000,16.8,96.2,2022,1,46,0.5065,0.4996638297872343,367.86400000000015,0.0002233333333333,73.29,80.42510638297874,758.1499999999999,772.49,0.1705028765655649,4877.144629040034,0.4309621271578751
